rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
496,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ KIMPRO,17700000,19206701832.0,,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ KIMPRO,1646,South Korea,KR,People,125.0,9.0,26.0,3404000000.0,850900.0,13600000.0,10200000.0,163400000.0,3200000.0,2017.0,Nov,11.0,11668713.0,7225450.0,6.0,1085.12,17.723,18.0791,macro_low,1085.12,274.3,17.723,18.0791,99.2,3404000000.0,2.12,71.6,Lifestyle / People,84.0,73.5,82.2,False,False,False,False,False,0
497,Jane ASMR Ã¯Â¿Â½Ã¯Â¿Â½,17700000,7387621644.0,,Jane ASMR Ã¯Â¿Â½Ã¯Â¿Â½,1888,South Korea,KR,People,762.0,11.0,30.0,102803000.0,0.0,0.0,0.0,0.0,,2012.0,Nov,17.0,3912935.0,0.0,11.0,417.38,1.392,,macro_low,417.38,171.6,1.392,,,102803000.0,0.0,62.8,Lifestyle / People,,54.5,,False,False,False,True,False,1
498,ArianaGrandeVevo,17700000,20115544708.0,Music,ArianaGrandeVevo,178,United States,US,Music,122.0,127.0,108.0,97422000.0,24400.0,389700.0,292300.0,4700000.0,,2010.0,Oct,21.0,113008678.0,207050.0,13.0,1136.47,0.484,,macro_low,1136.47,13.7,0.484,,,97422000.0,2.13,49.2,Music,,59.2,,False,False,False,False,False,0
499,jaanvi patel,17700000,7912733203.0,People & Blogs,jaanvi patel,512,India,IN,People,671.0,84.0,30.0,346753000.0,86700.0,1400000.0,1000000.0,16600000.0,900000.0,2018.0,Jul,18.0,15454557.0,743350.0,5.0,447.05,4.382,5.0847,macro_low,447.05,102.4,4.382,5.0847,93.8,346753000.0,2.14,60.7,Lifestyle / People,59.1,56.6,62.3,False,False,False,False,False,0
500,tanboy kun,17700000,3647267655.0,People & Blogs,tanboy kun,739,Indonesia,ID,Entertainment,2169.0,17.0,122.0,48174000.0,12000.0,192700.0,144500.0,2300000.0,100000.0,2016.0,Oct,27.0,4935410.0,102350.0,7.0,206.06,1.321,0.565,macro_low,206.06,105.6,1.321,0.565,51.2,48174000.0,2.12,65.2,Entertainment,40.9,39.5,32.8,False,False,False,False,False,0
501,Lil Pump,17700000,4196061192.0,Music,Lil Pump,60,,,Music,1785.0,,108.0,9243000.0,0.0,0.0,0.0,0.0,,2015.0,Oct,15.0,69934353.0,0.0,8.0,237.07,0.22,,macro_low,237.07,7.5,0.22,,,9243000.0,0.0,36.8,Music,,30.2,,False,False,False,True,False,1
502,Porta dos Fundos,17700000,7739048000.0,Entertainment,Porta dos Fundos,2240,Brazil,BR,Entertainment,705.0,27.0,123.0,35337000.0,8800.0,141300.0,106000.0,1700000.0,,2012.0,Mar,12.0,3454932.0,75050.0,11.0,437.23,0.457,,macro_low,437.23,203.6,0.457,,,35337000.0,2.12,64.0,Entertainment,,50.4,,False,False,False,False,False,0
503,News 24,17700000,8396875537.0,News & Politics,24 Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,211620,Ukraine,UA,News,880.0,24.0,112.0,370779000.0,92700.0,1500000.0,1100000.0,17800000.0,230000.0,2006.0,Feb,5.0,39679.0,796350.0,17.0,474.4,4.416,1.2994,macro_low,474.4,12448.2,4.416,1.2994,82.8,370779000.0,2.15,99.4,News & Current Affairs,84.0,66.2,53.9,False,False,False,False,True,1
504,Les' Copaque Production,17700000,9059696049.0,Film & Animation,Les' Copaque Production,1716,Malaysia,MY,Entertainment,531.0,1.0,123.0,117727000.0,29400.0,470900.0,353200.0,5700000.0,200000.0,2009.0,Nov,9.0,5279543.0,250150.0,14.0,511.85,1.299,1.1299,macro_low,511.85,122.6,1.299,1.1299,64.6,117727000.0,2.12,80.7,Entertainment,65.2,58.1,61.3,False,False,False,False,False,0
505,El Payaso Plim Plim,17700000,17247584185.0,Film & Animation,El Payaso Plim Plim,1316,Argentina,AR,Music,162.0,10.0,107.0,640030000.0,160000.0,2600000.0,1900000.0,30700000.0,600000.0,2013.0,Oct,18.0,13106067.0,1380000.0,10.0,974.44,3.711,3.3898,macro_low,974.44,131.6,3.711,3.3898,89.6,640030000.0,2.16,73.6,Music,78.0,70.9,80.6,False,False,False,False,False,0
506,zbing z.,17600000,9269174070.0,Gaming,zbing z.,3151,Thailand,TH,Games,511.0,7.0,36.0,55127000.0,13800.0,220500.0,165400.0,2600000.0,,2014.0,Mar,12.0,2941661.0,117150.0,9.0,526.66,0.595,,macro_low,526.66,350.1,0.595,,,55127000.0,2.13,64.4,Gaming,,55.5,,False,False,False,False,False,0
507,MissaSinfonia,17600000,2274007523.0,Comedy,MissaSinfonia,233,Mexico,MX,Comedy,4139.0,17.0,25.0,27445000.0,6900.0,109800.0,82300.0,1300000.0,100000.0,2011.0,Jan,5.0,9759689.0,58350.0,12.0,129.2,1.207,0.5682,macro_low,129.2,19.4,1.207,0.5682,49.2,27445000.0,2.13,63.7,Comedy,29.1,30.5,32.2,False,False,False,False,False,0
508,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Liziqi,17600000,2977741577.0,Howto & Style,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ Liziqi,128,China,CN,Howto,2917.0,1.0,16.0,22354000.0,5600.0,89400.0,67100.0,1100000.0,100000.0,2017.0,Aug,22.0,23263606.0,47500.0,6.0,169.19,0.751,0.5682,macro_low,169.19,21.3,0.751,0.5682,38.4,22354000.0,2.12,52.4,How-To & Style,21.6,30.0,33.8,False,False,False,False,False,0
509,The Game Theorists,17600000,3752347262.0,Gaming,TheGameTheorists,0,Australia,AU,,3612215.0,6095.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,,213.2,,,macro_low,213.2,,,,,,,0.0,Other,,,,True,True,False,True,False,3
510,DeGoBooM,17600000,6306204566.0,Gaming,DeGoBooM,4702,Chile,CL,Games,973.0,3.0,36.0,100215000.0,25100.0,400900.0,300600.0,4800000.0,500000.0,2014.0,Feb,1.0,1341175.0,213000.0,9.0,358.31,1.589,2.8409,macro_low,358.31,522.4,1.589,2.8409,78.5,100215000.0,2.13,81.3,Gaming,70.9,53.8,52.5,False,False,False,False,False,0
511,JFlaMusic,17600000,3802280098.0,Music,JFlaMusic,326,South Korea,KR,Music,2056.0,12.0,109.0,11099000.0,2800.0,44400.0,33300.0,532700.0,,2011.0,Aug,22.0,11663436.0,23600.0,12.0,216.04,0.292,,macro_low,216.04,27.2,0.292,,,11099000.0,2.13,50.7,Music,,32.2,,False,False,False,False,False,0
512,FactTechz,17500000,2238134438.0,Entertainment,FactTechz,709,India,IN,Entertainment,4243.0,86.0,124.0,21056000.0,5300.0,84200.0,63200.0,1000000.0,,2016.0,Jul,24.0,3156748.0,44750.0,7.0,127.89,0.941,,macro_low,127.89,101.3,0.941,,,21056000.0,2.13,49.5,Entertainment,,32.4,,False,False,False,False,False,0
513,News18 India,17500000,7263619576.0,News & Politics,News18 India,182742,India,IN,News,770.0,85.0,10.0,394106000.0,98500.0,1600000.0,1200000.0,18900000.0,700000.0,2007.0,Oct,25.0,39748.0,849250.0,16.0,415.06,5.426,4.0,macro_low,415.06,11421.4,5.426,4.0,94.0,394106000.0,2.15,99.3,News & Current Affairs,85.2,63.8,55.7,False,False,False,False,True,1
514,Fun For Kids TV - Hindi Rhymes,17500000,7612385622.0,Entertainment,Fun For Kids TV - Hindi Rhymes,149,India,IN,Entertainment,723.0,86.0,124.0,109847000.0,27500.0,439400.0,329500.0,5300000.0,300000.0,2017.0,Sep,27.0,51089836.0,233450.0,6.0,434.99,1.443,1.7143,macro_low,434.99,24.8,1.443,1.7143,72.5,109847000.0,2.13,53.4,Entertainment,43.1,47.6,58.9,False,False,False,False,False,0
515,IGN,17500000,16107116549.0,Gaming,IGN,156215,United States,US,Games,189.0,129.0,37.0,98342000.0,24600.0,393400.0,295000.0,4700000.0,,2006.0,Sep,19.0,103109.0,209000.0,17.0,920.41,0.611,,macro_low,920.41,9189.1,0.611,,,98342000.0,2.13,84.0,Gaming,,68.3,,False,False,False,False,True,1
516,Aphmau,17400000,17763586483.0,Gaming,Aphmau,4411,United States,US,Games,152.0,129.0,37.0,439870000.0,110000.0,1800000.0,1300000.0,21100000.0,400000.0,2012.0,Aug,13.0,4027111.0,955000.0,11.0,1020.9,2.476,2.2989,macro_low,1020.9,401.0,2.476,2.2989,83.5,439870000.0,2.17,84.2,Gaming,85.9,72.9,76.8,False,False,False,False,False,0
517,AMARINTV : Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,17400000,13043561912.0,Entertainment,AMARINTV : Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,118448,Thailand,TH,News,286.0,8.0,11.0,235993000.0,59000.0,944000.0,708000.0,11300000.0,200000.0,2014.0,Feb,5.0,110121.0,501500.0,9.0,749.63,1.809,1.1494,macro_low,749.63,13160.9,1.809,1.1494,71.2,235993000.0,2.13,87.5,News & Current Affairs,86.1,69.9,61.7,False,False,False,False,True,1
518,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ - Al-Remas,17400000,11144195464.0,Music,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ - Al-Remas,2133,Iraq,IQ,Music,371.0,1.0,110.0,113003000.0,28300.0,452000.0,339000.0,5400000.0,,2013.0,Sep,27.0,5224658.0,240150.0,10.0,640.47,1.014,,macro_low,640.47,213.3,1.014,,,113003000.0,2.13,62.5,Music,,60.9,,False,False,False,False,False,0
519,Koray Zeynep,17400000,16560557488.0,People & Blogs,Koray Zeynep,2078,,,People,173.0,,31.0,426389000.0,106600.0,1700000.0,1300000.0,20500000.0,400000.0,2016.0,Jul,8.0,7969469.0,903300.0,7.0,951.76,2.575,2.2989,macro_low,951.76,296.9,2.575,2.2989,84.1,426389000.0,2.12,74.1,Lifestyle / People,80.4,70.7,76.5,False,False,False,False,False,0
520,Apple,17300000,1026425106.0,Science & Technology,Apple,180,United States,US,Tech,11274.0,130.0,9.0,46484000.0,11600.0,185900.0,139500.0,2200000.0,100000.0,2005.0,Jun,22.0,5702362.0,98750.0,18.0,59.33,4.529,0.578,macro_low,59.33,10.0,4.529,0.578,68.2,46484000.0,2.12,66.6,Tech,33.2,29.3,28.3,False,False,False,False,False,0
521,Stubborn Facts,17300000,902225615.0,Film & Animation,Stubborn Facts,287,India,IN,Entertainment,13315.0,87.0,125.0,837850.0,209.0,3400.0,2500.0,40200.0,,2016.0,Sep,5.0,3143643.0,1804.0,7.0,52.15,0.093,,macro_low,52.15,41.0,0.093,,,837850.0,2.15,42.9,Entertainment,,24.0,,False,False,False,False,False,0
522,Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047.0,Entertainment,Taarak Mehta Ka Ooltah Chashmah,4778,India,IN,Entertainment,356.0,87.0,125.0,331944000.0,83000.0,1300000.0,995800.0,15900000.0,300000.0,2014.0,Aug,4.0,2380021.0,691500.0,9.0,657.33,2.919,1.7341,macro_low,657.33,530.9,2.919,1.7341,83.0,331944000.0,2.08,81.5,Entertainment,81.8,67.4,66.6,False,False,False,False,False,0
523,HowToBasic,17300000,3684816159.0,Howto & Style,HowToBasic,582,Australia,AU,Howto,2146.0,6.0,17.0,15525000.0,3900.0,62100.0,46600.0,745200.0,,2011.0,Dec,8.0,6331299.0,33000.0,12.0,213.0,0.421,,macro_low,213.0,48.5,0.421,,,15525000.0,2.13,54.4,How-To & Style,,33.8,,False,False,False,False,False,0
524,PopularMMOs,17200000,14573155899.0,Gaming,PopularMMOs,4685,,,Games,240.0,,38.0,15296000.0,3800.0,61200.0,45900.0,734200.0,100000.0,2012.0,Apr,17.0,3110599.0,32500.0,11.0,847.28,0.105,0.5814,macro_low,847.28,425.9,0.105,0.5814,19.7,15296000.0,2.12,84.5,Gaming,67.0,56.6,62.6,False,False,False,False,False,0
525,Marques Brownlee,17200000,3606912471.0,Science & Technology,Marques Brownlee,1567,United States,US,Tech,2196.0,131.0,10.0,52325000.0,13100.0,209300.0,157000.0,2500000.0,100000.0,2008.0,Mar,21.0,2301795.0,111200.0,15.0,209.7,1.451,0.5814,macro_low,209.7,104.5,1.451,0.5814,53.8,52325000.0,2.13,81.0,Tech,49.6,41.4,35.7,False,False,False,False,False,0
526,Anitta,17200000,7337212581.0,Music,Anitta,138,Brazil,BR,Music,769.0,28.0,111.0,72684000.0,18200.0,290700.0,218100.0,3500000.0,,2011.0,Nov,2.0,53168207.0,154450.0,12.0,426.58,0.991,,macro_low,426.58,11.5,0.991,,,72684000.0,2.12,46.4,Music,,44.2,,False,False,False,False,False,0
527,Jason Vlogs,17200000,8903647480.0,Education,Jason Oo,83,Australia,AU,People,4031958.0,3450.0,7408.0,25.0,0.01,0.1,0.08,1.0,,2014.0,Sep,11.0,107272861.0,0.0,9.0,517.65,0.0,,macro_low,517.65,9.2,0.0,,,25.0,0.0,39.4,Lifestyle / People,,36.9,,False,False,False,True,False,1
528,El Reino a Jugar,17200000,11445492404.0,Education,El Reino a Jugar,1007,Argentina,AR,Education,353.0,11.0,28.0,83709000.0,20900.0,334800.0,251100.0,4000000.0,100000.0,2015.0,Mar,3.0,11365931.0,177850.0,8.0,665.44,0.731,0.5814,macro_low,665.44,125.9,0.731,0.5814,38.3,83709000.0,2.12,69.2,Education,55.7,56.9,61.1,False,False,False,False,False,0
529,Willyrex,17200000,5024088947.0,Gaming,Willyrex,7550,Spain,ES,Games,1359.0,9.0,38.0,15405000.0,3900.0,61600.0,46200.0,739500.0,,2009.0,Aug,9.0,665442.0,32750.0,14.0,292.1,0.307,,macro_low,292.1,539.3,0.307,,,15405000.0,2.13,76.5,Gaming,,43.6,,False,False,False,False,False,0
530,TheBrianMaps,17100000,4448334716.0,Comedy,TheBrianMaps,498,Russia,RU,Entertainment,1624.0,6.0,126.0,37164000.0,9300.0,148700.0,111500.0,1800000.0,100000.0,2012.0,Jun,4.0,8932399.0,79000.0,11.0,260.14,0.835,0.5848,macro_low,260.14,45.3,0.835,0.5848,41.2,37164000.0,2.13,66.9,Entertainment,36.4,37.6,39.7,False,False,False,False,False,0
531,TRANS TV Official,17100000,9710962528.0,Entertainment,TRANS TV Official,148225,Indonesia,ID,Entertainment,472.0,18.0,127.0,45811000.0,11500.0,183200.0,137400.0,2200000.0,100000.0,2014.0,Sep,2.0,65515.0,97350.0,9.0,567.89,0.472,0.5848,macro_low,567.89,16469.4,0.472,0.5848,29.4,45811000.0,2.13,87.7,Entertainment,69.2,57.6,48.8,False,False,False,False,True,1
532,Liza Koshy,17100000,2173106162.0,Comedy,Liza Koshy,142,United States,US,Entertainment,4443.0,132.0,127.0,1761000.0,440.0,7000.0,5300.0,84500.0,,2013.0,Sep,2.0,15303565.0,3720.0,10.0,127.08,0.081,,macro_low,127.08,14.2,0.081,,,1761000.0,2.11,43.6,Entertainment,,24.6,,False,False,False,False,False,0
533,Queen Official,17000000,10847948832.0,Music,Queen Official,1015,United Kingdom,GB,Music,385.0,21.0,112.0,93768000.0,23400.0,375100.0,281300.0,4500000.0,100000.0,2008.0,Jul,7.0,10687634.0,199250.0,15.0,638.11,0.864,0.5882,macro_low,638.11,67.7,0.864,0.5882,42.2,93768000.0,2.12,77.1,Music,56.6,56.6,63.1,False,False,False,False,False,0
534,Prajapati News,17000000,1001465469.0,Comedy,Prajapati News,1407,India,IN,Entertainment,11662.0,89.0,128.0,7626000.0,1900.0,30500.0,22900.0,366100.0,100000.0,2013.0,Mar,14.0,711774.0,16200.0,10.0,58.91,0.761,0.5882,macro_low,58.91,140.7,0.761,0.5882,39.3,7626000.0,2.12,74.3,Entertainment,39.9,29.7,23.8,False,False,False,False,False,0
535,Gaby and Alex,17000000,8229883114.0,Entertainment,gabyandalex,1,,,People,4057752.0,,7732.0,,0.0,0.0,0.0,0.0,,2008.0,Aug,21.0,8229883114.0,0.0,15.0,484.11,,,macro_low,484.11,0.1,,,,,,31.8,Lifestyle / People,,,,True,True,False,True,False,3
536,LuisFonsiVEVO,17000000,14543594822.0,Music,LuisFonsiVEVO,97,United States,US,Music,241.0,133.0,112.0,49817000.0,12500.0,199300.0,149500.0,2400000.0,,2009.0,May,12.0,149933967.0,105900.0,14.0,855.51,0.343,,macro_low,855.51,6.9,0.343,,,49817000.0,2.13,48.6,Music,,50.8,,False,False,False,False,False,0
537,Pop Chartbusters,16900000,8684010451.0,Music,Pop Chartbusters,2235,India,IN,Music,574.0,90.0,113.0,72911000.0,18200.0,291600.0,218700.0,3500000.0,200000.0,2011.0,Aug,26.0,3885463.0,154900.0,12.0,513.85,0.84,1.1834,macro_low,513.85,186.2,0.84,1.1834,54.8,72911000.0,2.12,80.5,Music,63.9,54.1,59.9,False,False,False,False,False,0
538,Guava Juice,16900000,9111000228.0,Gaming,Guava Juice,1910,United States,US,Entertainment,527.0,134.0,129.0,10889000.0,2700.0,43600.0,32700.0,522600.0,,2006.0,Jul,18.0,4770157.0,23150.0,17.0,539.11,0.12,,macro_low,539.11,112.4,0.12,,,10889000.0,2.13,66.8,Entertainment,,47.7,,False,False,False,False,False,0
539,EeOneGuy,16900000,3827906874.0,Entertainment,EeOneGuy,366,United States,US,Entertainment,2039.0,134.0,129.0,1635000.0,409.0,6500.0,4900.0,78500.0,,2013.0,Mar,19.0,10458762.0,3454.0,10.0,226.5,0.043,,macro_low,226.5,36.6,0.043,,,1635000.0,2.11,48.4,Entertainment,,29.8,,False,False,False,False,False,0
540,VICE,16900000,4609753237.0,Entertainment,VICE,3900,United States,US,Entertainment,1543.0,134.0,129.0,36357000.0,9100.0,145400.0,109100.0,1700000.0,100000.0,2005.0,Dec,16.0,1181988.0,77250.0,18.0,272.77,0.789,0.5917,macro_low,272.77,216.7,0.789,0.5917,40.4,36357000.0,2.12,87.6,Entertainment,54.1,43.8,37.9,False,False,False,False,False,0
541,Aayu and Pihu Show,16900000,9270331567.0,Comedy,Aayu and Pihu Show,441,India,IN,People,510.0,90.0,34.0,89782000.0,22400.0,359100.0,269300.0,4300000.0,,2017.0,May,8.0,21021160.0,190750.0,6.0,548.54,0.968,,macro_low,548.54,73.5,0.968,,,89782000.0,2.12,44.4,Lifestyle / People,,50.7,,False,False,False,False,False,0
542,Danny Fitt,16900000,9544277833.0,People & Blogs,Danny Fitt,2337,United States,US,Entertainment,488.0,134.0,129.0,275264000.0,68800.0,1100000.0,825800.0,13200000.0,700000.0,2016.0,Dec,31.0,4083987.0,584400.0,7.0,564.75,2.884,4.142,macro_low,564.75,333.9,2.884,4.142,88.9,275264000.0,2.12,75.0,Entertainment,76.5,61.9,66.3,False,False,False,False,False,0
543,Bispo Bruno Leonardo,16900000,3523578665.0,Nonprofits & Activism,Bispo Bruno Leonardo,4891,Brazil,BR,Nonprofit,2307.0,29.0,2.0,149543000.0,37400.0,598200.0,448600.0,7200000.0,400000.0,2016.0,Apr,10.0,720421.0,317800.0,7.0,208.5,4.244,2.3669,macro_low,208.5,698.7,4.244,2.3669,89.1,149543000.0,2.13,78.8,Nonprofit,68.5,48.7,42.2,False,False,False,False,False,0
544,DeToxoMoroxo,16800000,2315962318.0,Entertainment,de toxomoroxo,1,,,Music,4056488.0,,5767.0,,0.0,0.0,0.0,0.0,,2016.0,Apr,30.0,2315962318.0,0.0,7.0,137.85,,,macro_low,137.85,0.1,,,,,,15.8,Music,,,,True,True,False,True,False,3
545,Doggy Doggy Cartoons,16800000,6518418501.0,Entertainment,Doggy Doggy Cartoons,0,,,,4057944.0,,,,0.0,0.0,0.0,0.0,,2018.0,Nov,11.0,,0.0,5.0,388.0,,,macro_low,388.0,0.0,,,,,,10.7,Other,,,,True,True,False,True,False,3
546,deepesh zo,16800000,7206462713.0,People & Blogs,deepesh zo,41,,,People,4038822.0,,7611.0,1.0,0.0,0.0,0.0,0.05,1.0,2021.0,Sep,24.0,175767383.0,0.0,2.0,428.96,0.0,0.0,macro_low,428.96,20.5,0.0,0.0,3.6,1.0,0.0,43.9,Lifestyle / People,21.6,31.8,43.2,False,True,False,True,False,2
547,Like Nastya IDN,16800000,7195314800.0,Entertainment,Like Nastya IDN,502,Indonesia,ID,Entertainment,795.0,19.0,130.0,42836000.0,10700.0,171300.0,128500.0,2100000.0,100000.0,2019.0,Nov,22.0,14333296.0,91000.0,4.0,428.29,0.595,0.5952,macro_low,428.29,125.5,0.595,0.5952,33.8,42836000.0,2.12,61.1,Entertainment,41.1,43.5,48.1,False,False,False,False,False,0
548,Gato Galactico | GALÃ¯Â¿Â½Ã¯Â¿,16800000,3693798804.0,Film & Animation,Gato Galactico | GALÃ¯Â¿Â½Ã¯Â¿,1491,Brazil,BR,Entertainment,2129.0,30.0,130.0,44121000.0,11000.0,176500.0,132400.0,2100000.0,100000.0,2013.0,Apr,2.0,2477397.0,93750.0,10.0,219.87,1.194,0.5952,macro_low,219.87,149.1,1.194,0.5952,49.8,44121000.0,2.12,74.8,Entertainment,48.6,39.7,34.9,False,False,False,False,False,0
549,Salman Noman,16700000,10393037902.0,Entertainment,salman Noman,3,,,,4057674.0,,,7.0,0.0,0.03,0.02,0.34,10.0,2022.0,May,14.0,3464345967.0,0.0,1.0,622.34,0.0,0.0001,macro_low,622.34,3.0,0.0,0.0001,4.9,7.0,0.0,36.6,Other,24.6,37.0,53.5,False,True,False,True,False,2
550,CoryxKenshin,16700000,7102965621.0,Gaming,CoryxKenshin,1693,United States,US,Games,814.0,135.0,39.0,105114000.0,26300.0,420500.0,315300.0,5000000.0,200000.0,2009.0,Apr,27.0,4195491.0,223400.0,14.0,425.33,1.48,1.1976,macro_low,425.33,120.9,1.48,1.1976,68.0,105114000.0,2.13,80.5,Gaming,62.7,51.8,56.2,False,False,False,False,False,0
551,With Kids[Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,16700000,8826138204.0,Entertainment,With Kids[Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯,920,United States,US,Entertainment,559.0,135.0,130.0,45698000.0,11400.0,182800.0,137100.0,2200000.0,100000.0,2012.0,Jul,6.0,9593628.0,97100.0,11.0,528.51,0.518,0.5988,macro_low,528.51,83.6,0.518,0.5988,31.5,45698000.0,2.12,70.2,Entertainment,47.8,49.0,54.9,False,False,False,False,False,0
552,Travis Scott,16700000,7979736581.0,Music,Travis Scott,13,United States,US,Music,564542.0,1920.0,1751.0,37623.0,9.0,150.0,113.0,1800.0,,2010.0,Sep,1.0,613825891.0,80.0,13.0,477.83,0.0,,macro_low,477.83,1.0,0.0,,,37623.0,2.13,44.7,Music,,34.7,,False,True,False,False,False,1
553,Tu COSMOPOLIS,16700000,5089284369.0,People & Blogs,Tu COSMOPOLIS,8741,Mexico,MX,People,1337.0,19.0,35.0,16139000.0,4000.0,64600.0,48400.0,774700.0,,2014.0,Aug,28.0,582231.0,34300.0,9.0,304.75,0.317,,macro_low,304.75,971.2,0.317,,,16139000.0,2.13,68.7,Lifestyle / People,,43.2,,False,False,False,False,False,0
554,Ivana Alawi,16600000,1318442641.0,,Ivana Alawi,180,Philippines,PH,People,8338.0,5.0,36.0,15079000.0,3800.0,60300.0,45200.0,723800.0,100000.0,2018.0,Jun,1.0,7324681.0,32050.0,5.0,79.42,1.144,0.6024,macro_low,79.42,36.0,1.144,0.6024,49.3,15079000.0,2.13,53.3,Lifestyle / People,24.5,24.3,24.6,False,False,False,False,False,0
555,Werever2morro,16600000,2798273962.0,Entertainment,werever2morro,0,Mexico,MX,Games,4057944.0,4248.0,7462.0,,0.0,0.0,0.0,0.0,,2010.0,Dec,7.0,,0.0,13.0,168.57,,,macro_low,168.57,0.0,,,,,,26.7,Gaming,,,,True,True,False,True,False,3
556,IDEAS EN 5 MINUTOS,16600000,3696973456.0,Howto & Style,Ideas En 5 Minutos,216,Spain,ES,,3108857.0,2753.0,,65470.0,16.0,262.0,196.0,3100.0,,2017.0,Apr,2.0,17115618.0,139.0,6.0,222.71,0.002,,macro_low,222.71,36.0,0.002,,,65470.0,2.12,40.3,Other,,27.4,,False,False,False,False,False,0
557,NMF News,16600000,7435180827.0,News & Politics,NMF News,112261,India,IN,News,749.0,91.0,12.0,59201000.0,14800.0,236800.0,177600.0,2800000.0,100000.0,2013.0,Oct,22.0,66231.0,125800.0,10.0,447.9,0.796,0.6024,macro_low,447.9,11226.1,0.796,0.6024,41.1,59201000.0,2.12,89.2,News & Current Affairs,68.7,54.0,44.5,False,False,False,False,True,1
558,SriBalajiMovies,16600000,9439857193.0,Entertainment,SriBalajiMovies,20102,India,IN,Entertainment,497.0,91.0,132.0,154049000.0,38500.0,616200.0,462100.0,7400000.0,200000.0,2011.0,Sep,29.0,469598.0,327350.0,12.0,568.67,1.632,1.2048,macro_low,568.67,1675.2,1.632,1.2048,69.7,154049000.0,2.12,91.0,Entertainment,80.4,61.7,57.7,False,False,False,False,False,0
559,Lahari Music - TSeries,16600000,11946217860.0,Music,Lahari Music - TSeries,8976,India,IN,Music,326.0,91.0,115.0,89012000.0,22300.0,356000.0,267000.0,4300000.0,100000.0,2011.0,Nov,21.0,1330907.0,189150.0,12.0,719.65,0.745,0.6024,macro_low,719.65,748.0,0.745,0.6024,39.3,89012000.0,2.12,89.0,Music,72.5,61.5,58.4,False,False,False,False,False,0
560,Younes Zarou,16600000,15278668857.0,Entertainment,Younes Zarou,2200,Germany,DE,Entertainment,213.0,4.0,131.0,617257000.0,154300.0,2500000.0,1900000.0,29600000.0,900000.0,2021.0,May,6.0,6944849.0,1327150.0,2.0,920.4,4.04,5.4217,macro_low,920.4,1100.0,4.04,5.4217,93.2,617257000.0,2.15,70.0,Entertainment,84.3,69.1,76.0,False,False,False,False,False,0
561,Jordan Matter,16600000,5819508534.0,Entertainment,Jordan Matter,413,United States,US,Entertainment,1088.0,136.0,132.0,199033000.0,49800.0,796100.0,597100.0,9600000.0,300000.0,2006.0,Dec,21.0,14090820.0,422950.0,17.0,350.57,3.42,1.8072,macro_low,350.57,24.3,3.42,1.8072,84.5,199033000.0,2.13,71.3,Entertainment,52.7,47.7,58.4,False,False,False,False,False,0
