post_id,creator_id,category,follower_tier,followers_at_post,post_date,post_hour,post_weekday,is_sponsored,likes,comments,engagement,engagement_rate,hashtag_count,caption_length,has_brand_mention
P0000128,CR00004,Beauty,micro,29187,2023-08-20,5,Sunday,True,311,23,334,1.144,26,51,True
P0000129,CR00004,Beauty,micro,29187,2023-08-14,18,Monday,False,477,32,509,1.744,13,97,False
P0000130,CR00004,Beauty,micro,29187,2023-11-25,13,Saturday,True,416,14,430,1.473,20,27,True
P0000131,CR00004,Beauty,micro,29187,2025-01-11,23,Saturday,False,772,23,795,2.724,11,57,False
P0000132,CR00004,Beauty,micro,29187,2023-10-22,12,Sunday,False,378,23,401,1.374,23,105,False
P0000133,CR00004,Beauty,micro,29187,2024-09-15,12,Sunday,True,326,12,338,1.158,27,101,True
P0000134,CR00004,Beauty,micro,29187,2023-11-10,14,Friday,True,465,26,491,1.682,21,73,True
P0000135,CR00004,Beauty,micro,29187,2023-06-05,7,Monday,False,630,35,665,2.278,0,220,False
P0000136,CR00004,Beauty,micro,29187,2023-05-06,18,Saturday,False,1191,27,1218,4.173,1,236,False
P0000137,CR00004,Beauty,micro,29187,2023-04-02,14,Sunday,False,546,42,588,2.015,22,73,False
P0000138,CR00004,Beauty,micro,29187,2024-09-14,11,Saturday,False,550,35,585,2.004,7,94,False
P0000139,CR00004,Beauty,micro,29187,2024-03-16,18,Saturday,False,442,14,456,1.562,27,60,False
P0000140,CR00004,Beauty,micro,29187,2024-07-01,10,Monday,False,765,26,791,2.71,3,150,False
P0000141,CR00004,Beauty,micro,29187,2023-08-30,12,Wednesday,False,1050,32,1082,3.707,9,17,False
P0000142,CR00004,Beauty,micro,29187,2023-10-02,10,Monday,False,1091,28,1119,3.834,26,61,False
P0000143,CR00004,Beauty,micro,29187,2024-01-04,12,Thursday,False,607,22,629,2.155,3,162,False
P0000144,CR00004,Beauty,micro,29187,2023-06-09,21,Friday,False,1061,46,1107,3.793,14,40,False
P0000145,CR00004,Beauty,micro,29187,2024-01-14,14,Sunday,False,728,25,753,2.58,12,262,False
P0000146,CR00004,Beauty,micro,29187,2023-04-29,7,Saturday,False,579,26,605,2.073,18,38,False
P0000147,CR00004,Beauty,micro,29187,2023-10-12,20,Thursday,False,666,41,707,2.422,21,111,True
P0000148,CR00004,Beauty,micro,29187,2023-04-19,6,Wednesday,False,898,59,957,3.279,16,38,False
P0000149,CR00004,Beauty,micro,29187,2023-10-19,18,Thursday,True,375,13,388,1.329,18,209,True
P0000150,CR00004,Beauty,micro,29187,2023-10-31,14,Tuesday,True,630,34,664,2.275,19,32,True
P0000151,CR00004,Beauty,micro,29187,2023-11-19,12,Sunday,False,432,28,460,1.576,22,93,False
P0000152,CR00004,Beauty,micro,29187,2024-09-16,10,Monday,True,433,26,459,1.573,7,126,True
P0000153,CR00004,Beauty,micro,29187,2023-05-26,23,Friday,False,977,50,1027,3.519,3,204,False
P0000154,CR00004,Beauty,micro,29187,2023-03-08,4,Wednesday,False,552,40,592,2.028,27,100,False
P0000155,CR00004,Beauty,micro,29187,2023-10-20,21,Friday,False,324,12,336,1.151,22,415,False
P0000156,CR00004,Beauty,micro,29187,2024-06-20,21,Thursday,True,852,63,915,3.135,25,166,True
P0000157,CR00004,Beauty,micro,29187,2023-07-12,14,Wednesday,False,844,40,884,3.029,6,15,True
P0000158,CR00004,Beauty,micro,29187,2024-01-03,21,Wednesday,False,739,29,768,2.631,25,68,False
P0000159,CR00004,Beauty,micro,29187,2023-09-05,15,Tuesday,False,2272,98,2370,8.12,13,296,False
P0000160,CR00004,Beauty,micro,29187,2024-07-09,7,Tuesday,False,526,31,557,1.908,19,23,False
P0000161,CR00004,Beauty,micro,29187,2024-02-16,19,Friday,False,467,18,485,1.662,29,84,False
P0000162,CR00004,Beauty,micro,29187,2024-05-20,14,Monday,False,837,51,888,3.042,1,64,True
P0000163,CR00004,Beauty,micro,29187,2025-01-29,8,Wednesday,False,575,22,597,2.045,28,123,False
P0000164,CR00004,Beauty,micro,29187,2023-06-28,14,Wednesday,True,717,25,742,2.542,22,115,True
P0000165,CR00004,Beauty,micro,29187,2023-11-16,20,Thursday,False,556,14,570,1.953,14,89,False
P0000166,CR00004,Beauty,micro,29187,2023-12-27,17,Wednesday,False,720,39,759,2.6,4,52,False
P0000167,CR00004,Beauty,micro,29187,2024-01-07,9,Sunday,False,897,56,953,3.265,0,104,False
P0000168,CR00004,Beauty,micro,29187,2023-05-13,12,Saturday,False,297,18,315,1.079,26,110,False
P0000169,CR00004,Beauty,micro,29187,2023-04-10,8,Monday,False,825,35,860,2.947,14,228,False
P0000170,CR00004,Beauty,micro,29187,2023-06-17,14,Saturday,False,538,39,577,1.977,8,87,False
P0000171,CR00004,Beauty,micro,29187,2024-12-11,8,Wednesday,False,380,13,393,1.346,10,13,False
P0000172,CR00004,Beauty,micro,29187,2025-01-02,10,Thursday,False,921,51,972,3.33,7,96,False
P0000173,CR00004,Beauty,micro,29187,2024-06-19,23,Wednesday,False,463,31,494,1.693,27,84,True
P0000174,CR00004,Beauty,micro,29187,2024-01-15,7,Monday,False,645,50,695,2.381,3,105,False
P0000175,CR00004,Beauty,micro,29187,2023-10-31,15,Tuesday,False,1216,63,1279,4.382,6,244,False
P0000176,CR00004,Beauty,micro,29187,2024-12-10,16,Tuesday,False,517,10,527,1.806,0,54,False
P0000177,CR00004,Beauty,micro,29187,2024-08-21,8,Wednesday,False,565,36,601,2.059,3,110,False
P0000178,CR00004,Beauty,micro,29187,2023-05-21,7,Sunday,True,693,49,742,2.542,19,64,True
P0000179,CR00004,Beauty,micro,29187,2024-11-18,14,Monday,False,451,23,474,1.624,11,160,False
P0000180,CR00004,Beauty,micro,29187,2024-07-01,15,Monday,False,971,38,1009,3.457,0,41,False
P0000181,CR00004,Beauty,micro,29187,2024-08-01,11,Thursday,True,412,12,424,1.453,10,89,True
P0000182,CR00004,Beauty,micro,29187,2024-09-29,9,Sunday,False,849,22,871,2.984,24,31,False
P0000183,CR00004,Beauty,micro,29187,2024-08-25,17,Sunday,False,493,29,522,1.788,12,139,False
P0000184,CR00004,Beauty,micro,29187,2023-11-18,6,Saturday,False,285,11,296,1.014,13,76,False
P0000185,CR00004,Beauty,micro,29187,2023-04-22,7,Saturday,False,247,10,257,0.881,20,122,False
P0000186,CR00004,Beauty,micro,29187,2023-09-26,21,Tuesday,False,400,20,420,1.439,6,370,False
P0000187,CR00004,Beauty,micro,29187,2023-10-13,11,Friday,True,579,38,617,2.114,5,20,True
P0000188,CR00004,Beauty,micro,29187,2024-08-22,12,Thursday,False,1054,65,1119,3.834,1,104,False
P0000189,CR00004,Beauty,micro,29187,2024-09-14,20,Saturday,False,721,36,757,2.594,8,210,False
P0000190,CR00004,Beauty,micro,29187,2024-06-12,20,Wednesday,False,1065,24,1089,3.731,20,108,False
P0000191,CR00004,Beauty,micro,29187,2024-07-31,19,Wednesday,True,579,30,609,2.087,9,281,True
P0000192,CR00004,Beauty,micro,29187,2024-06-14,9,Friday,False,1139,29,1168,4.002,10,88,False
P0000193,CR00004,Beauty,micro,29187,2024-08-10,7,Saturday,False,292,13,305,1.045,16,263,False
P0000194,CR00004,Beauty,micro,29187,2024-04-30,5,Tuesday,False,762,53,815,2.792,15,35,False
P0000195,CR00004,Beauty,micro,29187,2023-11-05,6,Sunday,False,516,36,552,1.891,3,174,False
P0000196,CR00004,Beauty,micro,29187,2023-08-17,5,Thursday,False,403,22,425,1.456,3,63,False
P0000197,CR00004,Beauty,micro,29187,2025-01-28,10,Tuesday,False,769,54,823,2.82,9,43,False
P0000198,CR00004,Beauty,micro,29187,2023-06-13,12,Tuesday,True,1502,101,1603,5.492,6,125,True
P0000199,CR00004,Beauty,micro,29187,2024-04-05,12,Friday,False,1060,35,1095,3.752,27,71,False
P0000200,CR00004,Beauty,micro,29187,2023-09-21,22,Thursday,False,2034,74,2108,7.222,29,82,False
P0000201,CR00004,Beauty,micro,29187,2024-07-15,9,Monday,True,790,35,825,2.827,6,62,True
P0000202,CR00005,Music,nano,4752,2023-09-30,5,Saturday,False,342,15,357,7.513,5,52,False
P0000203,CR00005,Music,nano,4752,2024-02-26,20,Monday,True,350,13,363,7.639,4,225,True
P0000204,CR00005,Music,nano,4752,2024-04-05,21,Friday,False,176,4,180,3.788,0,158,False
P0000205,CR00005,Music,nano,4752,2024-05-30,20,Thursday,False,236,12,248,5.219,10,176,False
P0000206,CR00005,Music,nano,4752,2023-09-15,11,Friday,True,424,13,437,9.196,19,184,True
P0000207,CR00005,Music,nano,4752,2024-04-02,14,Tuesday,False,397,25,422,8.88,5,84,False
P0000208,CR00005,Music,nano,4752,2023-05-05,14,Friday,False,494,36,530,11.153,24,45,False
P0000209,CR00005,Music,nano,4752,2024-02-25,16,Sunday,False,279,20,299,6.292,18,233,False
P0000210,CR00005,Music,nano,4752,2024-04-01,7,Monday,False,369,12,381,8.018,22,1034,False
P0000211,CR00005,Music,nano,4752,2023-11-01,19,Wednesday,False,594,46,640,13.468,22,101,False
P0000212,CR00005,Music,nano,4752,2024-03-26,3,Tuesday,True,289,7,296,6.229,6,66,True
P0000213,CR00005,Music,nano,4752,2024-07-25,9,Thursday,True,441,29,470,9.891,14,56,True
P0000214,CR00005,Music,nano,4752,2024-11-02,21,Saturday,False,608,45,653,13.742,6,153,False
P0000215,CR00005,Music,nano,4752,2023-11-11,13,Saturday,True,141,3,144,3.03,7,69,True
P0000216,CR00005,Music,nano,4752,2025-02-25,11,Tuesday,False,499,38,537,11.301,16,23,False
P0000217,CR00005,Music,nano,4752,2024-05-29,20,Wednesday,True,283,14,297,6.25,21,16,True
P0000218,CR00005,Music,nano,4752,2024-01-08,10,Monday,False,523,17,540,11.364,13,116,False
P0000219,CR00005,Music,nano,4752,2025-02-07,15,Friday,True,429,11,440,9.259,15,78,True
P0000220,CR00005,Music,nano,4752,2023-10-19,14,Thursday,False,166,8,174,3.662,4,79,False
P0000221,CR00005,Music,nano,4752,2023-10-01,10,Sunday,False,291,12,303,6.376,28,131,False
P0000222,CR00005,Music,nano,4752,2024-10-13,14,Sunday,True,357,11,368,7.744,15,270,True
P0000223,CR00005,Music,nano,4752,2024-02-14,15,Wednesday,False,475,10,485,10.206,8,32,False
P0000224,CR00005,Music,nano,4752,2023-03-31,21,Friday,True,200,7,207,4.356,22,193,True
P0000225,CR00005,Music,nano,4752,2024-10-02,7,Wednesday,True,131,8,139,2.925,16,281,True
P0000226,CR00006,Gaming,nano,5354,2024-02-05,18,Monday,True,123,8,131,2.447,18,64,True
P0000227,CR00006,Gaming,nano,5354,2024-02-01,17,Thursday,False,484,18,502,9.376,17,70,False
P0000228,CR00006,Gaming,nano,5354,2024-09-15,10,Sunday,False,419,27,446,8.33,13,60,True
P0000229,CR00006,Gaming,nano,5354,2024-07-11,14,Thursday,False,338,20,358,6.687,28,97,False
P0000230,CR00006,Gaming,nano,5354,2024-02-29,13,Thursday,False,668,53,721,13.467,25,179,False
P0000231,CR00006,Gaming,nano,5354,2024-02-11,8,Sunday,False,277,15,292,5.454,14,61,False
P0000232,CR00006,Gaming,nano,5354,2023-12-28,0,Thursday,False,573,37,610,11.393,5,25,False
P0000233,CR00006,Gaming,nano,5354,2023-04-28,9,Friday,False,175,10,185,3.455,22,69,False
P0000234,CR00006,Gaming,nano,5354,2024-08-25,11,Sunday,True,293,10,303,5.659,28,81,True
P0000235,CR00006,Gaming,nano,5354,2023-06-27,9,Tuesday,False,231,16,247,4.613,14,38,False
P0000236,CR00006,Gaming,nano,5354,2024-06-08,13,Saturday,False,361,7,368,6.873,2,239,True
P0000237,CR00006,Gaming,nano,5354,2025-01-23,12,Thursday,False,543,18,561,10.478,20,34,False
P0000238,CR00006,Gaming,nano,5354,2023-10-12,20,Thursday,False,346,14,360,6.724,4,184,True
P0000239,CR00006,Gaming,nano,5354,2025-01-17,16,Friday,False,196,10,206,3.848,13,47,False
P0000240,CR00006,Gaming,nano,5354,2024-06-28,19,Friday,False,435,26,461,8.61,28,167,False
P0000241,CR00006,Gaming,nano,5354,2024-05-30,20,Thursday,False,253,8,261,4.875,28,180,False
P0000242,CR00006,Gaming,nano,5354,2023-05-10,20,Wednesday,False,270,16,286,5.342,1,18,False
P0000243,CR00006,Gaming,nano,5354,2023-08-14,9,Monday,False,263,7,270,5.043,3,72,False
P0000244,CR00006,Gaming,nano,5354,2023-08-19,7,Saturday,True,171,6,177,3.306,16,183,True
P0000245,CR00006,Gaming,nano,5354,2024-11-18,19,Monday,True,64,4,68,1.27,5,169,True
P0000246,CR00006,Gaming,nano,5354,2024-07-03,1,Wednesday,False,374,21,395,7.378,4,79,True
P0000247,CR00006,Gaming,nano,5354,2023-04-24,19,Monday,False,390,9,399,7.452,29,57,False
P0000248,CR00006,Gaming,nano,5354,2025-02-12,19,Wednesday,False,82,2,84,1.569,26,110,False
P0000249,CR00006,Gaming,nano,5354,2024-05-23,21,Thursday,False,448,22,470,8.778,29,150,False
P0000250,CR00006,Gaming,nano,5354,2023-03-06,7,Monday,False,671,14,685,12.794,6,38,False
P0000251,CR00006,Gaming,nano,5354,2023-06-30,17,Friday,False,631,26,657,12.271,0,64,False
P0000252,CR00006,Gaming,nano,5354,2024-09-29,7,Sunday,False,322,7,329,6.145,19,29,False
P0000253,CR00006,Gaming,nano,5354,2024-06-02,11,Sunday,False,237,10,247,4.613,21,55,False
P0000254,CR00006,Gaming,nano,5354,2023-11-30,15,Thursday,False,310,6,316,5.902,28,97,False
P0000255,CR00006,Gaming,nano,5354,2023-08-28,7,Monday,False,190,8,198,3.698,23,188,False
P0000256,CR00006,Gaming,nano,5354,2024-04-07,13,Sunday,False,310,15,325,6.07,19,204,False
